,Tn,Tx,FFmax,RR,lat,lon
43137003,279.57164383561656,288.597397260274,6.7736986301369875,703.6,45.31399999999999,4.231
43234005,276.00835616438343,288.16726027397266,6.959452054794525,890.1999999999999,44.97,3.54
46100001,281.82095890410926,291.5782191780827,4.772328767123289,816.7,44.58,2.0
48004001,280.09346590909104,288.1960227272726,7.81789772727273,1840.4,44.494,3.852
48020003,279.02452054794543,286.84671232876724,11.89013698630136,1986.5,44.199,3.6319999999999997
48057002,276.01353591160205,283.0058011049721,11.256906077348068,958.2,44.66,3.54
48095005,278.6590410958906,288.6182191780821,6.282739726027398,973.2,44.53,3.45
48105001,277.4274104683195,287.9566115702478,6.9449035812672175,1039.8,44.75,3.83
48148004,282.55164383561663,292.8321917808216,7.418356164383561,2178.4,44.17,3.85
48176002,278.8099999999997,288.55301369863014,5.767945205479451,1261.1,44.246,3.304
48186001,279.47082191780805,288.2935616438355,6.3706849315068474,1632.8999999999999,44.32,3.65
63038002,277.32506849315075,284.7776712328769,8.71397260273973,1536.6999999999998,45.501999999999995,2.866
63113001,280.94095890410944,291.61356164383574,6.653150684931508,515.4,45.79,3.15
63125002,280.9217808219177,290.53684931506876,6.565753424657537,707.1000000000001,45.754,3.572
63178001,279.9026027397261,291.76095890410977,5.269041095890411,517.7,45.54,3.26
63319002,276.66232876712337,284.6135616438355,7.3243835616438355,1003.1999999999999,45.576,3.886
63353003,277.0538356164382,286.4132876712329,5.010684931506848,984.9,45.46,3.53
63354004,279.45109589041107,288.3171232876714,6.46876712328767,721.6,46.033,2.804
63399002,278.8604109589041,287.8998630136987,6.091780821917807,742.9000000000001,45.647,2.5980000000000003
66029003,284.96730769230777,293.342032967033,8.52802197802198,1040.6999999999998,42.59,2.68
66074002,280.62534246575336,293.9946575342466,5.177534246575342,743.8,42.63,2.45
66082004,275.3712121212123,286.57066115702463,7.775757575757579,859.1,42.61600000000001,2.1109999999999998
66136001,285.5765753424657,294.63273972602747,8.765753424657534,835.1999999999998,42.74,2.87
66137003,284.76232876712345,293.6995890410957,7.111780821917812,1197.0,42.47,2.86
66187006,283.7198630136986,292.9187671232874,9.228767123287673,1167.5,42.821000000000005,2.485
66204002,282.8102739726028,290.8376712328767,7.489863013698626,769.4,42.58,2.41
